code,Total_delay,count
9E,51.08785016,78964
AA,64.95205118,208222
AS,42.67638866,48104
B6,72.86729281,68248
CO,52.10507157,112904
DL,50.6327768,172018
EV,69.54285199,133121
F9,43.14013503,38363
FL,58.31315199,107459
HA,27.52842349,18154
MQ,58.62211208,162011
NW,47.05947894,114612
OH,63.59768686,68392
OO,52.55831361,181690
UA,67.40189569,118374
US,46.50781899,139532
WN,44.82816638,439169
XE,64.24353438,106293
YV,66.32496439,84957
