code,Total_delay,count
9E,58.95378684957531,90537
AA,59.19379017684103,198653
AS,42.30227571233281,37307
B6,70.82299408463521,79116
CO,43.748382056500226,103681
DL,56.10389314146243,306873
EV,78.6777133704523,104888
F9,45.18183390504742,34691
FL,57.242225959708804,81457
HA,25.773871661037767,19542
MQ,58.28390975653313,167990
OH,62.58976196826244,59992
OO,56.90675795768451,228427
UA,65.08798757609078,88217
US,45.813818844871115,128332
WN,46.45687018020614,524011
XE,59.22571715307573,148469
YV,55.22439538885702,54043
