code,Total_delay,count
AA,59.573730071336236,208870
AS,43.37654203833745,36883
B6,74.47533558156451,90738
CO,47.01709755315017,118438
DL,53.30081552596263,251862
EV,80.77572614778198,123804
F9,45.62732478589165,39466
FL,53.93572914045011,75493
HA,28.517274150268335,17888
MQ,62.100418306782984,162082
OO,55.45260538737169,214613
UA,64.2074155240878,106776
US,48.458480016566575,149699
WN,47.910942272895305,513970
XE,70.55289228391985,160496
YV,61.75583758637821,44282
