code,Total_delay,count
AA,64.73322197966613,310123
AS,49.4760764339804,59293
B6,96.31817303897282,119083
DL,72.4996207313215,262347
EV,105.7411429334147,104888
F9,81.27643962354442,37614
HA,32.39259967632779,27188
NK,86.71117366052846,50449
OO,93.27961861306405,220039
UA,80.76500486216332,176876
VX,72.50565258910144,32463
WN,50.69209584565116,578430
