,code,Total_delay,count,name,city
0,ABE,1491.7666666666667,3844,Lehigh Valley International Airport,Allentown
1,ABI,725.0666666666667,2475,Abilene Regional Airport,Abilene
2,ABQ,10179.433333333332,33779,Albuquerque International Airport,Albuquerque
3,ABY,510.1333333333333,1004,Southwest Georgia Regional Airport,Albany
4,ACK,182.06666666666666,216,Nantucket Memorial Airport,Nantucket
5,ACT,77.2,396,Waco Regional Airport,Waco
6,ACV,2207.8166666666666,3261,Arcata Airport,Mckinleyville
7,ACY,177.8,725,Atlantic City International Airport,Egg Harbor City
8,ADK,53.31666666666667,104,Adak Airport,Adak
9,ADQ,147.15,672,Kodiak Airport,Kodiak
10,AEX,1290.8833333333334,3322,Alexandria International Airport,Alexandria
11,AGS,1920.8333333333333,3894,Bush Field Airport,Augusta
12,AKN,10.533333333333333,79,King Salmon Airport,King Salmon
13,ALB,3171.733333333333,9667,Albany International Airport,Latham
14,AMA,2197.25,6879,Amarillo International Airport,Amarillo
15,ANC,3300.983333333333,18176,Anchorage International Airport,Anchorage
16,ART,77.4,76,Watertown International Airport,Dexter
17,ASE,1596.7333333333333,4331,Aspen Pitkin County Airport-Sardy Field,Aspen
18,ATL,148675.31666666668,391957,Hartsfield-Jackson Atlanta International Airport,Atlanta
19,ATW,1044.7333333333333,2926,Outagamie County Airport,Appleton
20,AUS,12167.516666666666,42384,Austin-Bergstrom International Airport,Austin
21,AVL,2253.3333333333335,4891,Asheville Regional Airport,Fletcher
22,AVP,723.8666666666667,1546,Wilkes Barre Scranton International Airport,Pittston
23,AZO,214.66666666666666,849,Kalamazoo-Battle Creek International Airport,Kalamazoo
24,BDL,6736.616666666667,22549,Bradley International Airport,Windsor Locks
25,BET,241.43333333333334,1026,Bethel Airport,Bethel
26,BFL,1369.0,3656,Kern County-Meadows Field Airport,Bakersfield
27,BGM,4.2,3,Greater Binghamton Edwin A Link Field Airport,Johnson City
28,BGR,204.18333333333334,460,Bangor International Airport,Bangor
29,BHM,5745.883333333333,17729,Birmingham International Airport,Birmingham
30,BIL,638.65,3582,Logan International Airport,Billings
31,BIS,1024.3333333333333,3016,Bismarck Municipal Airport,Bismarck
33,BLI,88.5,693,Bellingham International Airport,Bellingham
34,BMI,1318.5,3418,Bloomington Normal Airport,Bloomington
35,BNA,19497.433333333334,52684,Nashville International Airport,Nashville
36,BOI,3542.0666666666666,13981,Boise Air Terminal,Boise
37,BOS,45572.51666666667,109349,Gen E L Logan International Airport,Boston
38,BPT,1.5166666666666666,3,Jefferson County Airport,Beaumont
39,BQK,479.2,982,Glynco Jetport Airport,Brunswick
40,BQN,509.28333333333336,1466,Rafael Hernandez Airport,Aguadilla
41,BRO,546.8833333333333,2415,Brownsville-South Padre Island International Air,Brownsville
42,BRW,254.65,824,Wiley Post Will Rogers Memorial Airport,Barrow
43,BTM,60.18333333333333,685,Bert Mooney Airport,Butte
44,BTR,3441.483333333333,7953,Baton Rouge Metropolitan Airport,Baton Rouge
45,BTV,1991.5,4086,Burlington International Airport,South Burlington
46,BUF,8109.366666666667,21944,Greater Buffalo International Airport,Buffalo
47,BUR,6358.35,26295,Burbank Glendale Pasadena Airport,Burbank
48,BWI,41601.6,104361,Baltimore-Washington International Thurgood Mars,Baltimore
49,BZN,859.15,3659,Gallatin Field Airport,Bozeman
50,CAE,3461.4666666666667,7294,Columbia Metropolitan Airport,West Columbia
51,CAK,3056.0333333333333,8221,Akron Canton Regional Airport,Canton
52,CDC,61.61666666666667,666,Cedar City Municipal Airport,Cedar City
53,CDV,159.68333333333334,721,Merle K Mudhole Smith Airport,Cordova
