,code,Total_delay,count,name,city
0,ABE,1251.8833333333334,3100,Lehigh Valley International Airport,Allentown
1,ABI,1026.0333333333333,2754,Abilene Regional Airport,Abilene
2,ABQ,10326.466666666667,28552,Albuquerque International Airport,Albuquerque
3,ABR,178.71666666666667,745,Aberdeen Regional Airport,Aberdeen
4,ABY,416.15,1036,Southwest Georgia Regional Airport,Albany
5,ACK,186.81666666666666,378,Nantucket Memorial Airport,Nantucket
6,ACT,643.6666666666666,1704,Waco Regional Airport,Waco
7,ACV,2316.866666666667,3281,Arcata Airport,Mckinleyville
8,ADK,29.983333333333334,104,Adak Airport,Adak
9,ADQ,158.81666666666666,660,Kodiak Airport,Kodiak
10,AEX,1809.2833333333333,3994,Alexandria International Airport,Alexandria
11,AGS,1212.0833333333333,3045,Bush Field Airport,Augusta
12,AKN,11.116666666666667,77,King Salmon Airport,King Salmon
13,ALB,3701.766666666667,10723,Albany International Airport,Latham
14,ALO,404.55,676,Waterloo Municipal Airport,Waterloo
15,AMA,3216.0666666666666,7450,Amarillo International Airport,Amarillo
16,ANC,3598.1833333333334,18519,Anchorage International Airport,Anchorage
17,APN,142.38333333333333,630,Alpena County Regional Airport,Alpena
18,ART,413.55,631,Watertown International Airport,Dexter
19,ASE,2218.233333333333,4661,Aspen Pitkin County Airport-Sardy Field,Aspen
20,ATL,149125.33333333334,398878,Hartsfield-Jackson Atlanta International Airport,Atlanta
21,ATW,2100.25,5096,Outagamie County Airport,Appleton
22,AUS,17061.333333333332,47385,Austin-Bergstrom International Airport,Austin
23,AVL,1846.1666666666667,4254,Asheville Regional Airport,Fletcher
24,AVP,756.4833333333333,2310,Wilkes Barre Scranton International Airport,Pittston
25,AZA,8.3,84,Phoenix-Mesa Gateway Airport,Phoenix
26,AZO,685.1833333333333,2578,Kalamazoo-Battle Creek International Airport,Kalamazoo
27,BDL,7585.6,22258,Bradley International Airport,Windsor Locks
28,BET,197.1,976,Bethel Airport,Bethel
29,BFL,1333.6,3745,Kern County-Meadows Field Airport,Bakersfield
30,BGM,268.46666666666664,903,Greater Binghamton Edwin A Link Field Airport,Johnson City
31,BGR,277.93333333333334,845,Bangor International Airport,Bangor
32,BHM,6687.25,16741,Birmingham International Airport,Birmingham
33,BIL,711.6666666666666,3185,Logan International Airport,Billings
34,BIS,1230.2666666666667,3740,Bismarck Municipal Airport,Bismarck
35,BJI,166.56666666666666,753,Bemidji-Beltrami County Airport,Bemidji
37,BLI,234.81666666666666,899,Bellingham International Airport,Bellingham
38,BMI,1361.8166666666666,3265,Bloomington Normal Airport,Bloomington
39,BNA,25211.116666666665,59719,Nashville International Airport,Nashville
40,BOI,3790.1,10878,Boise Air Terminal,Boise
41,BOS,44509.8,111373,Gen E L Logan International Airport,Boston
42,BPT,513.2333333333333,1155,Jefferson County Airport,Beaumont
43,BQK,365.6,1019,Glynco Jetport Airport,Brunswick
44,BQN,481.01666666666665,1334,Rafael Hernandez Airport,Aguadilla
45,BRD,216.33333333333334,914,Brainerd-Crow Wing County Regional Airport,Brainerd
46,BRO,919.9166666666666,2500,Brownsville-South Padre Island International Air,Brownsville
