,code,Total_delay,count,name,city
0,ABE,681.15,1638,Lehigh Valley International Airport,Allentown
1,ABI,1377.9666666666667,2832,Abilene Regional Airport,Abilene
2,ABQ,10710.416666666666,24635,Albuquerque International Airport,Albuquerque
3,ABR,128.85,752,Aberdeen Regional Airport,Aberdeen
4,ABY,322.1,1003,Southwest Georgia Regional Airport,Albany
5,ACK,126.36666666666666,397,Nantucket Memorial Airport,Nantucket
6,ACT,738.0833333333334,1762,Waco Regional Airport,Waco
7,ACV,1985.3333333333333,3060,Arcata Airport,Mckinleyville
8,ACY,289.46666666666664,491,Atlantic City International Airport,Egg Harbor City
9,ADK,42.43333333333333,104,Adak Airport,Adak
10,ADQ,126.41666666666667,536,Kodiak Airport,Kodiak
11,AEX,1584.0166666666667,3425,Alexandria International Airport,Alexandria
12,AGS,963.0166666666667,2655,Bush Field Airport,Augusta
13,AKN,23.45,63,King Salmon Airport,King Salmon
14,ALB,3103.366666666667,7994,Albany International Airport,Latham
15,ALO,349.3,678,Waterloo Municipal Airport,Waterloo
16,AMA,3760.3333333333335,7263,Amarillo International Airport,Amarillo
17,ANC,3680.616666666667,16788,Anchorage International Airport,Anchorage
18,APN,148.36666666666667,626,Alpena County Regional Airport,Alpena
19,ART,122.8,237,Watertown International Airport,Dexter
20,ASE,2748.4666666666667,4568,Aspen Pitkin County Airport-Sardy Field,Aspen
21,ATL,129982.0,369779,Hartsfield-Jackson Atlanta International Airport,Atlanta
22,ATW,1524.8166666666666,2710,Outagamie County Airport,Appleton
23,AUS,17931.2,43098,Austin-Bergstrom International Airport,Austin
24,AVL,1436.9666666666667,3395,Asheville Regional Airport,Fletcher
25,AVP,774.0333333333333,1697,Wilkes Barre Scranton International Airport,Pittston
26,AZO,547.0666666666667,1829,Kalamazoo-Battle Creek International Airport,Kalamazoo
27,BDL,7457.15,21783,Bradley International Airport,Windsor Locks
28,BET,254.9,978,Bethel Airport,Bethel
29,BFL,1043.8666666666666,3318,Kern County-Meadows Field Airport,Bakersfield
30,BGR,302.55,824,Bangor International Airport,Bangor
31,BHM,6610.183333333333,14028,Birmingham International Airport,Birmingham
32,BIL,713.8833333333333,3242,Logan International Airport,Billings
33,BIS,854.5,2307,Bismarck Municipal Airport,Bismarck
34,BJI,132.58333333333334,730,Bemidji-Beltrami County Airport,Bemidji
36,BLI,219.53333333333333,923,Bellingham International Airport,Bellingham
37,BMI,1352.5833333333333,3136,Bloomington Normal Airport,Bloomington
38,BNA,26386.9,55670,Nashville International Airport,Nashville
39,BOI,4277.2,11228,Boise Air Terminal,Boise
40,BOS,40426.4,110636,Gen E L Logan International Airport,Boston
41,BPT,624.2333333333333,1067,Jefferson County Airport,Beaumont
42,BQK,481.21666666666664,1016,Glynco Jetport Airport,Brunswick
43,BQN,531.4833333333333,1407,Rafael Hernandez Airport,Aguadilla
44,BRD,359.28333333333336,905,Brainerd-Crow Wing County Regional Airport,Brainerd
45,BRO,1127.5833333333333,2444,Brownsville-South Padre Island International Air,Brownsville
46,BRW,371.51666666666665,932,Wiley Post Will Rogers Memorial Airport,Barrow
47,BTM,81.28333333333333,763,Bert Mooney Airport,Butte
48,BTR,4552.3,8474,Baton Rouge Metropolitan Airport,Baton Rouge
49,BTV,2237.2,4198,Burlington International Airport,South Burlington
50,BUF,7108.183333333333,18383,Greater Buffalo International Airport,Buffalo
