,code,Total_delay,count,name,city
0,ABE,2180.85,4168,Lehigh Valley International Airport,Allentown
1,ABI,840.25,2022,Abilene Regional Airport,Abilene
2,ABQ,8859.216666666667,24047,Albuquerque International Airport,Albuquerque
3,ABR,330.55,745,Aberdeen Regional Airport,Aberdeen
4,ABY,670.7166666666667,1018,Southwest Georgia Regional Airport,Albany
5,ACK,868.9833333333333,972,Nantucket Memorial Airport,Nantucket
6,ACT,526.2333333333333,1593,Waco Regional Airport,Waco
7,ACV,919.5666666666667,1478,Arcata Airport,Mckinleyville
8,ACY,1343.4666666666667,3288,Atlantic City International Airport,Egg Harbor City
9,ADK,52.13333333333333,104,Adak Airport,Adak
10,ADQ,132.3,636,Kodiak Airport,Kodiak
11,AEX,1499.4833333333333,3403,Alexandria International Airport,Alexandria
12,AGS,2294.016666666667,4544,Bush Field Airport,Augusta
13,AKN,15.816666666666666,63,King Salmon Airport,King Salmon
14,ALB,4774.633333333333,12360,Albany International Airport,Latham
15,ALO,274.03333333333336,677,Waterloo Municipal Airport,Waterloo
16,AMA,2006.5166666666667,5366,Amarillo International Airport,Amarillo
17,ANC,3488.266666666667,18411,Anchorage International Airport,Anchorage
18,APN,332.28333333333336,622,Alpena County Regional Airport,Alpena
19,ART,23.683333333333334,25,Watertown International Airport,Dexter
20,ASE,4511.8,6854,Aspen Pitkin County Airport-Sardy Field,Aspen
21,ATL,142527.28333333333,390046,Hartsfield-Jackson Atlanta International Airport,Atlanta
22,ATW,1818.8833333333334,4188,Outagamie County Airport,Appleton
23,AUS,25015.75,63262,Austin-Bergstrom International Airport,Austin
24,AVL,4144.4,7694,Asheville Regional Airport,Fletcher
25,AVP,1605.3333333333333,3356,Wilkes Barre Scranton International Airport,Pittston
26,AZA,1958.8,5251,Phoenix-Mesa Gateway Airport,Phoenix
27,AZO,1126.7333333333333,2805,Kalamazoo-Battle Creek International Airport,Kalamazoo
28,BDL,10727.833333333334,28316,Bradley International Airport,Windsor Locks
29,BET,146.73333333333332,837,Bethel Airport,Bethel
30,BFF,187.21666666666667,573,William B Heilig Field Airport,Scottsbluff
31,BFL,922.1,2324,Kern County-Meadows Field Airport,Bakersfield
32,BGM,523.2,920,Greater Binghamton Edwin A Link Field Airport,Johnson City
33,BGR,2156.3,4090,Bangor International Airport,Bangor
34,BHM,7787.5,18297,Birmingham International Airport,Birmingham
35,BIL,1372.0833333333333,4152,Logan International Airport,Billings
36,BIS,1692.1666666666667,3667,Bismarck Municipal Airport,Bismarck
37,BJI,291.15,740,Bemidji-Beltrami County Airport,Bemidji
39,BLI,593.05,2225,Bellingham International Airport,Bellingham
41,BMI,1793.85,3173,Bloomington Normal Airport,Bloomington
42,BNA,31786.716666666667,74263,Nashville International Airport,Nashville
43,BOI,6360.266666666666,19191,Boise Air Terminal,Boise
44,BOS,73704.86666666667,148191,Gen E L Logan International Airport,Boston
45,BPT,325.8666666666667,851,Jefferson County Airport,Beaumont
46,BQK,302.1166666666667,1038,Glynco Jetport Airport,Brunswick
47,BQN,1179.8333333333333,1960,Rafael Hernandez Airport,Aguadilla
48,BRD,269.18333333333334,637,Brainerd-Crow Wing County Regional Airport,Brainerd
49,BRO,1062.95,2607,Brownsville-South Padre Island International Air,Brownsville
50,BRW,103.95,727,Wiley Post Will Rogers Memorial Airport,Barrow
51,BTM,177.35,677,Bert Mooney Airport,Butte
52,BTR,4044.8333333333335,7576,Baton Rouge Metropolitan Airport,Baton Rouge
53,BTV,5119.6,9727,Burlington International Airport,South Burlington
54,BUF,11555.566666666668,26248,Greater Buffalo International Airport,Buffalo
55,BUR,10208.25,26583,Burbank Glendale Pasadena Airport,Burbank
56,BWI,44353.3,106739,Baltimore-Washington International Thurgood Mars,Baltimore
57,BZN,2637.6,5841,Gallatin Field Airport,Bozeman
58,CAE,2651.733333333333,6817,Columbia Metropolitan Airport,West Columbia
59,CAK,4512.083333333333,7510,Akron Canton Regional Airport,Canton
60,CDC,151.16666666666666,622,Cedar City Municipal Airport,Cedar City
61,CDV,144.28333333333333,722,Merle K Mudhole Smith Airport,Cordova
62,CGI,320.9166666666667,625,Cape Girardeau Municipal Airport,Scott City
