,code,Total_delay,count,name,city
0,ABE,967.5833333333334,2841,Lehigh Valley International Airport,Allentown
1,ABI,508.26666666666665,2439,Abilene Regional Airport,Abilene
2,ABQ,9202.683333333332,30931,Albuquerque International Airport,Albuquerque
3,ABR,71.2,612,Aberdeen Regional Airport,Aberdeen
4,ABY,337.56666666666666,999,Southwest Georgia Regional Airport,Albany
5,ACK,255.43333333333334,349,Nantucket Memorial Airport,Nantucket
6,ACT,433.8666666666667,1580,Waco Regional Airport,Waco
7,ACV,3157.516666666667,3486,Arcata Airport,Mckinleyville
8,ACY,0.06666666666666667,12,Atlantic City International Airport,Egg Harbor City
9,ADK,59.28333333333333,105,Adak Airport,Adak
10,ADQ,160.6,670,Kodiak Airport,Kodiak
11,AEX,1524.5166666666667,3703,Alexandria International Airport,Alexandria
12,AGS,1257.4833333333333,3100,Bush Field Airport,Augusta
13,AKN,21.316666666666666,84,King Salmon Airport,King Salmon
14,ALB,3213.5,9491,Albany International Airport,Latham
15,ALO,124.51666666666667,509,Waterloo Municipal Airport,Waterloo
16,AMA,2257.85,7371,Amarillo International Airport,Amarillo
17,ANC,3860.6,17667,Anchorage International Airport,Anchorage
18,APN,43.016666666666666,200,Alpena County Regional Airport,Alpena
19,ART,252.88333333333333,626,Watertown International Airport,Dexter
20,ASE,1709.5333333333333,4840,Aspen Pitkin County Airport-Sardy Field,Aspen
21,ATL,111645.98333333334,392015,Hartsfield-Jackson Atlanta International Airport,Atlanta
22,ATW,1264.15,3693,Outagamie County Airport,Appleton
23,AUS,12163.033333333333,43526,Austin-Bergstrom International Airport,Austin
24,AVL,1803.4333333333334,4324,Asheville Regional Airport,Fletcher
25,AVP,456.05,1312,Wilkes Barre Scranton International Airport,Pittston
26,AZA,8.75,47,Phoenix-Mesa Gateway Airport,Phoenix
27,AZO,128.36666666666667,754,Kalamazoo-Battle Creek International Airport,Kalamazoo
28,BDL,5691.866666666667,20977,Bradley International Airport,Windsor Locks
29,BET,229.6,981,Bethel Airport,Bethel
30,BFL,1549.5166666666667,3891,Kern County-Meadows Field Airport,Bakersfield
31,BGR,163.18333333333334,589,Bangor International Airport,Bangor
32,BHM,5776.15,17637,Birmingham International Airport,Birmingham
33,BIL,634.9166666666666,3521,Logan International Airport,Billings
34,BIS,784.6666666666666,3237,Bismarck Municipal Airport,Bismarck
35,BJI,100.5,597,Bemidji-Beltrami County Airport,Bemidji
37,BLI,213.15,896,Bellingham International Airport,Bellingham
38,BMI,753.3833333333333,2477,Bloomington Normal Airport,Bloomington
39,BNA,17263.983333333334,55054,Nashville International Airport,Nashville
40,BOI,3107.05,10804,Boise Air Terminal,Boise
41,BOS,32220.55,103218,Gen E L Logan International Airport,Boston
42,BPT,4.766666666666667,10,Jefferson County Airport,Beaumont
43,BQK,305.65,957,Glynco Jetport Airport,Brunswick
44,BQN,426.5833333333333,1482,Rafael Hernandez Airport,Aguadilla
45,BRD,23.15,162,Brainerd-Crow Wing County Regional Airport,Brainerd
46,BRO,902.3166666666667,2328,Brownsville-South Padre Island International Air,Brownsville
47,BRW,266.18333333333334,830,Wiley Post Will Rogers Memorial Airport,Barrow
48,BTM,48.266666666666666,704,Bert Mooney Airport,Butte
49,BTR,3702.6,8246,Baton Rouge Metropolitan Airport,Baton Rouge
50,BTV,1918.75,3942,Burlington International Airport,South Burlington
51,BUF,7073.033333333334,22015,Greater Buffalo International Airport,Buffalo
52,BUR,5467.216666666666,25969,Burbank Glendale Pasadena Airport,Burbank
53,BWI,39809.666666666664,103329,Baltimore-Washington International Thurgood Mars,Baltimore
54,BZN,870.8333333333334,3773,Gallatin Field Airport,Bozeman
55,CAE,3183.733333333333,6575,Columbia Metropolitan Airport,West Columbia
56,CAK,2362.1833333333334,8179,Akron Canton Regional Airport,Canton
57,CDC,86.41666666666667,648,Cedar City Municipal Airport,Cedar City
58,CDV,144.96666666666667,724,Merle K Mudhole Smith Airport,Cordova
59,CEC,1199.3,1010,Jack Mcnamara Field Airport,Crescent City
60,CHA,1628.3333333333333,4925,Chattanooga Metropolitan Airport,Chattanooga
61,CHO,632.4166666666666,1763,Charlottesville Albemarle Airport,Earlysville
63,CIC,950.55,1287,Chico Municipal Airport,Chico
64,CID,2431.0333333333333,6684,Cedar Rapids Municipal Airport,Cedar Rapids
65,CLD,690.65,2370,Mcclellan Palomar Airport,Carlsbad
66,CLE,15936.4,47361,Hopkins International Airport,Cleveland
67,CLL,497.78333333333336,1849,Easterwood Field Airport,College Station
68,CLT,34949.78333333333,135945,Douglas International Airport,Charlotte
69,CMH,9347.616666666667,27957,Port Columbus International Airport,Columbus
70,CMI,725.15,2278,University of Illinois-Willard Airport,Savoy
71,CMX,343.3666666666667,735,Houghton County Memorial Airport,Hancock
72,COD,208.9,920,Yellowstone Regional Airport,Cody/Yellowstone
73,COS,3650.866666666667,11610,City of Colorado Springs Municipal Airport,Colorado Springs
74,COU,198.78333333333333,533,Columbia Regional Airport,Columbia
75,CPR,341.3833333333333,2213,Natrona County International Airport,Casper
