,code,Total_delay,count,name,city
0,ABE,1550.2833333333333,4173,Lehigh Valley International Airport,Allentown
1,ABI,738.6166666666667,2497,Abilene Regional Airport,Abilene
2,ABQ,9851.116666666667,33300,Albuquerque International Airport,Albuquerque
3,ABR,8.266666666666667,5,Aberdeen Regional Airport,Aberdeen
4,ABY,366.6333333333333,1028,Southwest Georgia Regional Airport,Albany
5,ACK,152.33333333333334,346,Nantucket Memorial Airport,Nantucket
6,ACT,8.033333333333333,85,Waco Regional Airport,Waco
7,ACV,2795.483333333333,3295,Arcata Airport,Mckinleyville
8,ACY,279.21666666666664,840,Atlantic City International Airport,Egg Harbor City
9,ADK,42.63333333333333,103,Adak Airport,Adak
10,ADQ,185.9,670,Kodiak Airport,Kodiak
11,AEX,1164.9333333333334,3613,Alexandria International Airport,Alexandria
12,AGS,1744.3666666666666,3746,Bush Field Airport,Augusta
13,AKN,15.666666666666666,77,King Salmon Airport,King Salmon
14,ALB,3770.4333333333334,11878,Albany International Airport,Latham
15,ALO,28.183333333333334,111,Waterloo Municipal Airport,Waterloo
16,AMA,2459.1833333333334,7002,Amarillo International Airport,Amarillo
17,ANC,3542.95,18081,Anchorage International Airport,Anchorage
18,ASE,1889.6166666666666,4333,Aspen Pitkin County Airport-Sardy Field,Aspen
19,ATL,165845.23333333334,414666,Hartsfield-Jackson Atlanta International Airport,Atlanta
20,ATW,1513.3833333333334,4590,Outagamie County Airport,Appleton
21,AUS,12179.033333333333,42631,Austin-Bergstrom International Airport,Austin
22,AVL,2505.1,5942,Asheville Regional Airport,Fletcher
23,AVP,936.1166666666667,2138,Wilkes Barre Scranton International Airport,Pittston
24,AZO,797.45,3066,Kalamazoo-Battle Creek International Airport,Kalamazoo
25,BDL,6881.0,23993,Bradley International Airport,Windsor Locks
26,BET,333.4,1025,Bethel Airport,Bethel
27,BFL,1296.5333333333333,3392,Kern County-Meadows Field Airport,Bakersfield
28,BGM,232.8,930,Greater Binghamton Edwin A Link Field Airport,Johnson City
29,BGR,450.4,1120,Bangor International Airport,Bangor
30,BHM,7595.833333333333,21381,Birmingham International Airport,Birmingham
31,BIL,733.7,3627,Logan International Airport,Billings
32,BIS,1169.25,3798,Bismarck Municipal Airport,Bismarck
33,BJI,5.5,73,Bemidji-Beltrami County Airport,Bemidji
35,BLI,34.31666666666667,204,Bellingham International Airport,Bellingham
36,BMI,1699.3833333333334,4498,Bloomington Normal Airport,Bloomington
37,BNA,19978.533333333333,54403,Nashville International Airport,Nashville
38,BOI,3779.1833333333334,13979,Boise Air Terminal,Boise
39,BOS,39339.8,113540,Gen E L Logan International Airport,Boston
40,BQK,349.06666666666666,3,Glynco Jetport Airport,Brunswick
41,BQN,416.7,1004,Rafael Hernandez Airport,Aguadilla
42,BRO,652.4,1538,Brownsville-South Padre Island International Air,Brownsville
43,BRW,411.26666666666665,2472,Wiley Post Will Rogers Memorial Airport,Barrow
44,BTM,135.86666666666667,825,Bert Mooney Airport,Butte
45,BTR,3721.6666666666665,815,Baton Rouge Metropolitan Airport,Baton Rouge
46,BTV,3066.05,9060,Burlington International Airport,South Burlington
47,BUF,8847.1,6649,Greater Buffalo International Airport,Buffalo
48,BUR,7246.75,24826,Burbank Glendale Pasadena Airport,Burbank
49,BWI,41019.96666666667,26596,Baltimore-Washington International Thurgood Mars,Baltimore
50,BZN,1286.4,105584,Gallatin Field Airport,Bozeman
51,CAE,4036.2166666666667,4541,Columbia Metropolitan Airport,West Columbia
52,CAK,3549.266666666667,8774,Akron Canton Regional Airport,Canton
53,CDC,181.33333333333334,9103,Cedar City Municipal Airport,Cedar City
54,CDV,222.31666666666666,627,Merle K Mudhole Smith Airport,Cordova
55,CEC,943.2,722,Jack Mcnamara Field Airport,Crescent City
56,CHA,1944.8,1023,Chattanooga Metropolitan Airport,Chattanooga
57,CHO,403.1,4825,Charlottesville Albemarle Airport,Earlysville
59,CIC,831.0666666666667,12467,Chico Municipal Airport,Chico
60,CID,2235.2,1400,Cedar Rapids Municipal Airport,Cedar Rapids
61,CLD,409.71666666666664,6564,Mcclellan Palomar Airport,Carlsbad
62,CLE,16677.083333333332,1750,Hopkins International Airport,Cleveland
63,CLL,240.81666666666666,56174,Easterwood Field Airport,College Station
64,CLT,40341.86666666667,791,Douglas International Airport,Charlotte
65,CMH,10311.533333333333,125471,Port Columbus International Airport,Columbus
66,CMI,848.15,30042,University of Illinois-Willard Airport,Savoy
67,CMX,167.3,2391,Houghton County Memorial Airport,Hancock
68,COD,371.43333333333334,611,Yellowstone Regional Airport,Cody/Yellowstone
69,COS,4451.75,1291,City of Colorado Springs Municipal Airport,Colorado Springs
70,COU,248.3,12539,Columbia Regional Airport,Columbia
71,CPR,511.6166666666667,824,Natrona County International Airport,Casper
72,CRP,1988.6833333333334,2152,Corpus Christi International Airport,Corpus Christi
73,CRW,2095.85,7799,Yeager Airport,Charleston
74,CSG,725.5,4477,Columbus Metropolitan Airport,Columbus
75,CVG,18587.133333333335,1742,Greater Cincinnati International Airport,Hebron
76,CWA,854.5,49061,Central Wisconsin Airport,Mosinee
77,CYS,211.41666666666666,2256,Cheyenne Airport,Cheyenne
78,DAB,1060.5666666666666,296,Daytona Beach International Airport,Daytona Beach
79,DAL,18394.116666666665,2170,Dallas Love Field Airport,Dallas
80,DAY,4917.616666666667,46307,James M Cox Dayton International Airport,Dayton
81,DBQ,355.6666666666667,14331,Dubuque Regional Airport,Dubuque
82,DCA,23701.35,953,Washington National Airport,Arlington
83,DEN,81367.46666666666,78719,Denver International Airport,Denver
84,DFW,99003.98333333334,238488,Fort Worth International Airport,Dallas
85,DHN,625.3166666666667,267729,Dothan Airport,Dothan
86,DLG,26.016666666666666,1393,Dillingham Municipal Airport,Dillingham
87,DLH,911.0833333333334,76,Duluth International Airport,Duluth
88,DRO,905.05,2974,Durango la Plata County Airport,Durango
89,DSM,4949.966666666666,3341,Des Moines International Airport,Des Moines
90,DTW,64069.53333333333,13328,Detroit Metropolitan Wayne County Airport,Detroit
91,EAU,425.5,160925,Eau Claire County Airport,Eau Claire
93,EGE,1012.4333333333333,4164,Eagle County Regional Airport,Gypsum
94,EKO,330.9166666666667,2478,Elko Municipal Airport-J C Harris Field,Elko
95,ELM,464.1,1411,Elmira Corning Regional Airport,Horseheads
96,ELP,6827.966666666666,1318,El Paso International Airport,El Paso
97,ERI,515.3666666666667,21910,Erie International Airport,Erie
98,EUG,2065.3,1239,Mahlon Sweet Field Airport,Eugene
99,EVV,1402.8166666666666,4969,Evansville Regional Airport,Evansville
100,EWN,376.1333333333333,4485,Craven County Regional Airport,New Bern
