,code,Total_delay,count,name,city
0,ABE,1024.0833333333333,2513,Lehigh Valley International Airport,Allentown
1,ABI,896.35,2530,Abilene Regional Airport,Abilene
2,ABQ,7719.35,21008,Albuquerque International Airport,Albuquerque
3,ABR,329.18333333333334,742,Aberdeen Regional Airport,Aberdeen
4,ABY,400.1333333333333,963,Southwest Georgia Regional Airport,Albany
5,ACK,334.3833333333333,520,Nantucket Memorial Airport,Nantucket
6,ACT,665.35,1760,Waco Regional Airport,Waco
7,ACV,740.4666666666667,1442,Arcata Airport,Mckinleyville
8,ACY,1717.5833333333333,3820,Atlantic City International Airport,Egg Harbor City
9,ADK,54.61666666666667,105,Adak Airport,Adak
10,ADQ,112.93333333333334,491,Kodiak Airport,Kodiak
11,AEX,1565.1,3428,Alexandria International Airport,Alexandria
12,AGS,1008.5833333333334,2584,Bush Field Airport,Augusta
13,AKN,15.65,63,King Salmon Airport,King Salmon
14,ALB,2389.0333333333333,8193,Albany International Airport,Latham
15,ALO,214.2,674,Waterloo Municipal Airport,Waterloo
16,AMA,1656.1666666666667,4521,Amarillo International Airport,Amarillo
17,ANC,4055.383333333333,17239,Anchorage International Airport,Anchorage
18,APN,226.03333333333333,626,Alpena County Regional Airport,Alpena
19,ASE,2362.233333333333,3621,Aspen Pitkin County Airport-Sardy Field,Aspen
20,ATL,125141.11666666667,379424,Hartsfield-Jackson Atlanta International Airport,Atlanta
21,ATW,1094.2833333333333,3108,Outagamie County Airport,Appleton
22,AUS,17834.266666666666,46088,Austin-Bergstrom International Airport,Austin
23,AVL,1264.8166666666666,3029,Asheville Regional Airport,Fletcher
24,AVP,621.5833333333334,1472,Wilkes Barre Scranton International Airport,Pittston
25,AZO,610.5166666666667,1966,Kalamazoo-Battle Creek International Airport,Kalamazoo
26,BDL,6535.783333333334,20513,Bradley International Airport,Windsor Locks
27,BET,278.15,980,Bethel Airport,Bethel
28,BFL,1035.75,2820,Kern County-Meadows Field Airport,Bakersfield
29,BGM,165.56666666666666,324,Greater Binghamton Edwin A Link Field Airport,Johnson City
30,BGR,142.81666666666666,393,Bangor International Airport,Bangor
31,BHM,5247.933333333333,13660,Birmingham International Airport,Birmingham
32,BIL,629.8333333333334,3130,Logan International Airport,Billings
33,BIS,1420.3,3792,Bismarck Municipal Airport,Bismarck
34,BJI,224.93333333333334,729,Bemidji-Beltrami County Airport,Bemidji
35,BLI,148.13333333333333,711,Bellingham International Airport,Bellingham
36,BMI,1181.55,2968,Bloomington Normal Airport,Bloomington
37,BNA,19367.766666666666,52057,Nashville International Airport,Nashville
38,BOI,4953.666666666667,12815,Boise Air Terminal,Boise
39,BOS,45396.666666666664,118011,Gen E L Logan International Airport,Boston
40,BPT,659.7166666666667,1060,Jefferson County Airport,Beaumont
41,BQK,364.6166666666667,963,Glynco Jetport Airport,Brunswick
42,BQN,702.8,1439,Rafael Hernandez Airport,Aguadilla
43,BRD,139.91666666666666,642,Brainerd-Crow Wing County Regional Airport,Brainerd
44,BRO,859.6666666666666,2566,Brownsville-South Padre Island International Air,Brownsville
45,BRW,255.15,936,Wiley Post Will Rogers Memorial Airport,Barrow
46,BTM,149.23333333333332,729,Bert Mooney Airport,Butte
47,BTR,3881.633333333333,7825,Baton Rouge Metropolitan Airport,Baton Rouge
48,BTV,1524.8666666666666,3326,Burlington International Airport,South Burlington
49,BUF,6020.183333333333,18417,Greater Buffalo International Airport,Buffalo
50,BUR,5805.116666666667,20657,Burbank Glendale Pasadena Airport,Burbank
51,BWI,42480.75,94101,Baltimore-Washington International Thurgood Mars,Baltimore
52,BZN,1232.85,3939,Gallatin Field Airport,Bozeman
